2026-06-16 02:44:46.434691 |  | 507c5e | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 03:05:09.142246 |  | 5140d1 | ALT:0 | SPD:461 | LAT:0.0 | LON:0.0
2026-06-16 03:32:21.140610 |  | 4bb1c4 | ALT:39000 | SPD:480 | LAT:0.0 | LON:0.0
2026-06-16 03:48:05.426143 |  | 70209f | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 03:54:20.221082 |  | 896582 | ALT:0 | SPD:491 | LAT:0.0 | LON:0.0
2026-06-16 03:58:05.486928 |  | 151dc3 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 04:13:20.967700 |  | 899097 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 04:32:26.535602 |  | 4cac13 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 04:47:34.144219 |  | 4246a2 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 04:51:49.613366 |  | 48436a | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 04:52:20.551907 |  | 4cac12 | ALT:35000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 05:44:55.478173 |  | 507c71 | ALT:0 | SPD:484 | LAT:0.0 | LON:0.0
2026-06-16 06:00:30.760586 |  | 6832c6 | ALT:35000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 06:09:25.611443 |  | 8014bb | ALT:0 | SPD:471 | LAT:0.0 | LON:0.0
2026-06-16 06:20:21.450257 |  | 4bb150 | ALT:30000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 06:25:43.707086 |  | ac3c0e | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 06:27:06.705995 |  | 899106 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 06:36:57.027208 |  | 80161c | ALT:25250 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 06:56:32.172154 |  | 801680 | ALT:0 | SPD:486 | LAT:0.0 | LON:0.0
2026-06-16 06:57:53.441836 |  | 80157c | ALT:0 | SPD:474 | LAT:0.0 | LON:0.0
2026-06-16 07:03:03.508473 |  | a7ff6a | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 07:03:33.851789 |  | 801615 | ALT:0 | SPD:484 | LAT:0.0 | LON:0.0
2026-06-16 07:09:07.124792 |  | 80152e | ALT:34975 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 07:10:08.376587 | AFL272 | 151dae | ALT:35000 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 07:15:38.420570 |  | 8015fc | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
2026-06-16 07:17:40.210079 |  | 801499 | ALT:0 | SPD:0 | LAT:0.0 | LON:0.0
